Job_Role,Low,Medium,High,n,High_Rate
Operator,0.20862470862470864,0.289044289044289,0.5023310023310024,858,0.5023310023310024
Production Supervisor,0.18114143920595532,0.3362282878411911,0.4826302729528536,806,0.4826302729528536
Quality Engineer,0.19293820933165196,0.3467843631778058,0.46027742749054223,793,0.46027742749054223
Inventory Analyst,0.21703617269544925,0.3372228704784131,0.4457409568261377,857,0.4457409568261377
Dispatcher,0.23477157360406092,0.34390862944162437,0.4213197969543147,788,0.4213197969543147
Warehouse Manager,0.2586002372479241,0.32858837485172004,0.4128113879003559,843,0.4128113879003559
Supply Chain Analyst,0.2555425904317386,0.33255542590431736,0.411901983663944,857,0.411901983663944
Sales Associate,0.22800495662949194,0.3655514250309789,0.40644361833952913,807,0.40644361833952913
Accountant,0.269183922046285,0.33495736906211937,0.39585870889159563,821,0.39585870889159563
Auditor,0.27060270602706027,0.35547355473554737,0.37392373923739236,813,0.37392373923739236
Network Engineer,0.3004640371229698,0.32830626450116007,0.37122969837587005,862,0.37122969837587005
Store Manager,0.30884184308841844,0.32378580323785805,0.36737235367372356,803,0.36737235367372356
Financial Analyst,0.2787258248009101,0.3583617747440273,0.36291240045506257,879,0.36291240045506257
Support Specialist,0.33906071019473083,0.3104238258877434,0.35051546391752575,873,0.35051546391752575
Operations Analyst,0.3482880755608028,0.3187721369539551,0.33293978748524206,847,0.33293978748524206
Data Analyst,0.3839811542991755,0.3333333333333333,0.2826855123674912,849,0.2826855123674912
Software Engineer,0.3703256936067551,0.3486127864897467,0.2810615199034982,829,0.2810615199034982
ML Engineer,0.391304347826087,0.3341614906832298,0.2745341614906832,805,0.2745341614906832
Medical Assistant,0.43869516310461193,0.3160854893138358,0.2452193475815523,889,0.2452193475815523
Academic Coordinator,0.44932844932844934,0.32234432234432236,0.22832722832722832,819,0.22832722832722832
Health Analyst,0.44559585492227977,0.34196891191709844,0.21243523316062177,772,0.21243523316062177
Research Assistant,0.4682151589242054,0.3215158924205379,0.21026894865525672,818,0.21026894865525672
Nurse,0.5333333333333333,0.3,0.16666666666666666,900,0.16666666666666666
Teacher,0.5357142857142857,0.30049261083743845,0.16379310344827586,812,0.16379310344827586
